,Median,MAD_SD,hdi_2.5%,hdi_97.5%
Intercept,11916.691,1232.409,8321.085,15415.324
ruleStr[II],4436.906,1703.5,-372.913,9349.413
ruleStr[IV],7109.536,1721.698,1369.223,11671.896
points,80.975,58.098,-78.199,247.836
ruleStr:points[II],232.534,83.629,-13.126,465.735
ruleStr:points[IV],421.563,80.442,183.947,691.399
rt_sigma,32720.143,175.514,32181.431,33197.429
