,Median,MAD_SD,hdi_2.5%,hdi_97.5%
Intercept,3214.387,210.234,2638.272,3808.297
incentive,19.977,9.322,-6.954,46.229
ruleStr[IV],-572.316,299.228,-1459.917,286.178
incentive:ruleStr[IV],-1.562,13.164,-40.674,34.58
rt_sigma,7990.825,67.833,7781.671,8190.036
