,mean,sd,hdi_2.5%,hdi_97.5%
Intercept,2.161,0.259,1.665,2.661
ruleStr[IV],-0.879,0.331,-1.504,-0.207
incentive,-0.019,0.01,-0.038,-0.0
ruleStr:incentive[IV],0.021,0.013,-0.005,0.047
