,mean,sd,hdi_2.5%,hdi_97.5%
Intercept,1.925,0.218,1.53,2.365
ruleStr[IV],0.39,0.363,-0.328,1.077
incentive,-0.022,0.009,-0.04,-0.005
ruleStr:incentive[IV],0.004,0.014,-0.024,0.032
