,Median,MAD_SD,hdi_2.5%,hdi_97.5%
Intercept,5220.851,726.968,3249.138,7428.533
ruleStr[IV],-1374.023,822.638,-3754.628,1044.643
ticketvalue,-1437.773,703.445,-3565.589,419.309
ruleStr:ticketvalue[IV],583.512,976.301,-2317.144,3222.768
rt_sigma,27303.77,207.313,26699.003,27923.348
