,Median,MAD_SD,hdi_2.5%,hdi_97.5%
Intercept,2777.461,236.322,2107.434,3505.104
ruleStr[II],761.261,338.365,-265.588,1706.432
ruleStr[IV],1095.967,424.525,-158.087,2177.546
ticketvalue,369.541,314.741,-581.804,1276.046
ruleStr:ticketvalue[II],-109.218,448.008,-1407.72,1231.654
ruleStr:ticketvalue[IV],642.094,458.253,-694.745,1978.364
rt_sigma,29489.586,68.519,29275.038,29670.233
