,mean,sd,hdi_2.5%,hdi_97.5%
Intercept,1.457,0.17,1.113,1.791
ruleStr[II],-0.388,0.243,-0.862,0.082
ruleStr[IV],-0.693,0.237,-1.144,-0.228
points,0.022,0.009,0.006,0.039
ruleStr:points[II],0.009,0.012,-0.013,0.032
ruleStr:points[IV],-0.0,0.011,-0.022,0.021
