,Median,MAD_SD,hdi_2.5%,hdi_97.5%
Intercept,4478.114,220.873,3775.57,5110.993
incentive,-7.609,9.813,-34.817,22.203
ruleStr[IV],-1457.912,335.094,-2412.273,-418.959
incentive:ruleStr[IV],32.945,14.223,-9.449,74.262
rt_sigma,8680.714,75.615,8465.246,8909.89
